type,rating
tv,4.6
tv,4.6
tv,4.57
tv,4.56
tv,4.56
tv,4.55
movie,4.54
tv,4.53
movie,4.51
tv,4.51
movie,4.51
movie,4.5
tv,4.5
tv,4.48
tv,4.48
movie,4.46
tv,4.46
tv,4.46
tv,4.45
tv,4.45
tv,4.45
tv,4.45
tv,4.45
tv,4.44
tv,4.44
tv,4.44
tv,4.44
tv,4.44
tv,4.43
tv,4.43
tv,4.43
tv,4.42
tv,4.4
tv,4.4
tv,4.4
tv,4.39
tv,4.39
tv,4.39
tv,4.38
tv,4.37
tv,4.37
tv,4.36
tv,4.36
tv,4.36
movie,4.36
movie,4.36
movie,4.36
movie,4.36
tv,4.36
tv,4.36
tv,4.36
movie,4.35
tv,4.35
tv,4.35
tv,4.35
movie,4.35
tv,4.35
tv,4.35
movie,4.35
movie,4.34
tv,4.34
movie,4.34
tv,4.34
tv,4.34
tv,4.33
movie,4.33
tv,4.33
movie,4.33
tv,4.32
movie,4.32
tv,4.32
movie,4.32
movie,4.32
tv,4.32
tv,4.31
movie,4.31
tv,4.31
movie,4.31
tv,4.31
tv,4.3
tv,4.3
movie,4.3
tv,4.3
tv,4.3
movie,4.29
tv,4.29
tv,4.29
tv,4.29
movie,4.29
tv,4.28
tv,4.28
tv,4.28
tv,4.28
tv,4.28
tv,4.28
movie,4.27
tv,4.27
tv,4.27
tv,4.27
movie,4.27
movie,4.27
tv,4.27
movie,4.26
tv,4.26
tv,4.26
tv,4.26
tv,4.26
tv,4.25
tv,4.25
movie,4.25
tv,4.25
tv,4.25
movie,4.24
tv,4.24
tv,4.24
tv,4.24
tv,4.24
movie,4.23
tv,4.23
movie,4.23
movie,4.23
tv,4.23
tv,4.23
tv,4.23
movie,4.23
tv,4.23
movie,4.22
tv,4.22
tv,4.22
movie,4.22
tv,4.22
tv,4.22
tv,4.21
tv,4.21
tv,4.2
movie,4.2
movie,4.2
movie,4.2
tv,4.2
tv,4.19
tv,4.19
tv,4.19
tv,4.19
movie,4.18
tv,4.18
tv,4.18
tv,4.18
movie,4.18
tv,4.18
tv,4.17
movie,4.17
tv,4.17
movie,4.17
tv,4.17
movie,4.17
movie,4.17
tv,4.16
movie,4.16
movie,4.16
tv,4.16
tv,4.16
tv,4.16
tv,4.16
movie,4.15
tv,4.15
movie,4.15
movie,4.15
tv,4.15
tv,4.15
tv,4.15
tv,4.15
movie,4.15
movie,4.15
movie,4.15
movie,4.15
tv,4.14
tv,4.14
tv,4.14
tv,4.14
tv,4.14
tv,4.14
tv,4.13
tv,4.13
movie,4.13
tv,4.13
tv,4.13
tv,4.13
tv,4.13
movie,4.12
movie,4.12
tv,4.12
tv,4.12
tv,4.12
movie,4.12
tv,4.12
tv,4.11
movie,4.11
movie,4.11
tv,4.11
tv,4.11
movie,4.11
tv,4.1
tv,4.1
tv,4.1
movie,4.1
tv,4.1
tv,4.1
tv,4.1
tv,4.09
tv,4.09
movie,4.09
movie,4.09
movie,4.09
tv,4.09
tv,4.09
tv,4.09
movie,4.09
movie,4.09
movie,4.09
tv,4.09
tv,4.08
movie,4.08
movie,4.08
movie,4.07
movie,4.07
tv,4.07
movie,4.07
tv,4.07
tv,4.07
tv,4.07
tv,4.07
movie,4.07
tv,4.07
tv,4.07
tv,4.07
movie,4.07
tv,4.06
movie,4.06
movie,4.06
tv,4.06
tv,4.05
tv,4.05
tv,4.05
movie,4.05
movie,4.05
tv,4.05
tv,4.05
tv,4.04
tv,4.04
movie,4.04
tv,4.04
movie,4.04
movie,4.04
tv,4.04
tv,4.04
tv,4.04
movie,4.04
tv,4.04
movie,4.03
movie,4.03
tv,4.03
tv,4.03
movie,4.03
tv,4.03
movie,4.03
tv,4.03
tv,4.02
tv,4.02
tv,4.02
tv,4.02
tv,4.02
tv,4.02
tv,4.02
movie,4.02
tv,4.02
movie,4.02
movie,4.02
movie,4.02
tv,4.02
tv,4.01
tv,4.01
tv,4.01
movie,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.01
tv,4.0
tv,4.0
tv,4.0
movie,4.0
tv,4.0
movie,4.0
tv,4.0
movie,4.0
tv,3.99
movie,3.99
tv,3.99
tv,3.99
tv,3.99
tv,3.99
movie,3.99
movie,3.99
tv,3.99
movie,3.99
tv,3.98
movie,3.98
tv,3.98
movie,3.98
movie,3.98
movie,3.98
tv,3.98
tv,3.98
tv,3.98
movie,3.97
tv,3.97
tv,3.97
tv,3.97
tv,3.97
tv,3.97
tv,3.97
tv,3.97
movie,3.97
movie,3.97
tv,3.97
tv,3.97
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.96
tv,3.95
movie,3.95
movie,3.95
movie,3.95
movie,3.95
tv,3.95
tv,3.95
tv,3.95
movie,3.95
tv,3.94
movie,3.94
tv,3.94
tv,3.94
movie,3.94
movie,3.94
movie,3.94
movie,3.94
tv,3.94
tv,3.94
tv,3.94
movie,3.93
movie,3.93
tv,3.93
movie,3.93
tv,3.93
tv,3.93
tv,3.93
movie,3.93
tv,3.93
tv,3.93
tv,3.92
movie,3.92
movie,3.92
movie,3.92
tv,3.92
movie,3.92
movie,3.92
tv,3.92
tv,3.92
tv,3.92
movie,3.92
tv,3.92
movie,3.92
movie,3.91
tv,3.91
tv,3.91
tv,3.91
movie,3.91
movie,3.91
movie,3.91
tv,3.91
tv,3.91
tv,3.91
tv,3.9
tv,3.9
movie,3.9
movie,3.9
movie,3.9
tv,3.9
tv,3.89
tv,3.89
tv,3.89
tv,3.89
tv,3.89
tv,3.89
tv,3.89
tv,3.89
tv,3.89
movie,3.89
tv,3.89
tv,3.88
tv,3.88
tv,3.88
tv,3.88
tv,3.88
movie,3.88
movie,3.88
tv,3.88
tv,3.88
tv,3.88
tv,3.88
tv,3.88
movie,3.88
tv,3.88
movie,3.88
tv,3.87
movie,3.87
tv,3.87
movie,3.87
movie,3.87
tv,3.87
movie,3.87
tv,3.87
tv,3.87
movie,3.86
tv,3.86
tv,3.86
tv,3.86
tv,3.86
tv,3.86
tv,3.86
movie,3.86
tv,3.86
tv,3.86
movie,3.85
tv,3.85
